965233418;Insert Data Faktur Penjualan dgn Pemebeli BANK PERKREDITAN RAKYAT BATANGHARI;23/01/2013 10:48:31; di Nopend 36000;
974357959;Insert Data Faktur Penjualan dgn Pemebeli PT BANK CNB;23/01/2013 10:49:04; di Nopend 61300;
;Insert data;23/01/2013 10:49:55; ();
974357959;Insert Data Faktur Penjualan dgn Pemebeli BANK SYARIAH BUKOPIN;23/01/2013 10:50:20; di Nopend 61300;
;Insert data;23/01/2013 10:53:13; ();
;Ubah data;23/01/2013 10:53:38; (10458);
;Ubah data;23/01/2013 10:54:07; (10456);
965233418;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI KARYA MULYA JAMBI;23/01/2013 10:54:07; di Nopend 36000;
964357112;Insert Data Faktur Penjualan dgn Pemebeli PT TELEKOMUNIKASI INDONESIA, TBK;23/01/2013 10:55:14; di Nopend 11000;
;Insert data;23/01/2013 10:58:38; ();
;Insert data;23/01/2013 11:01:23; ();
;Insert data;23/01/2013 11:04:12; ();
;Insert data pegawai;23/01/2013 11:06:20; ();
;Insert data pegawai;23/01/2013 11:07:42; ();
FP-1;Ubah data user;23/01/2013 11:08:02;959177401 ();
FP-1;Insert data user;23/01/2013 11:08:29;985400456 ();
FP-1;Insert data user;23/01/2013 11:09:13;972321135 ();
FP-1;Ubah status data user;23/01/2013 11:09:17;221 (0);
;Insert data;23/01/2013 11:10:11;Asman Manajer Keuangan & BPM ();
;Insert data;23/01/2013 11:10:52; ();
;Insert data pegawai;23/01/2013 11:11:03; ();
FP-1;Insert data user;23/01/2013 11:11:43;972357828 ();
;Ubah data;23/01/2013 11:12:22; (224);
;Insert data pegawai;23/01/2013 11:13:23; ();
;Ubah data;23/01/2013 11:13:44; (224);
;Ubah data;23/01/2013 11:13:53; (225);
;Insert data;23/01/2013 11:14:20; ();
;Insert data pegawai;23/01/2013 11:16:59; ();
;Insert data;23/01/2013 11:17:18; ();
FP-1;Ubah data user;23/01/2013 11:17:53;962172583 ();
FP-1;Ubah data user;23/01/2013 11:18:07;968307358 ();
FP-1;Insert data user;23/01/2013 11:18:39;968270724 ();
;Hapus data kantor;23/01/2013 11:18:48; (461);
;Ubah data;23/01/2013 11:19:11; (403);
;Insert data pegawai;23/01/2013 11:21:03; ();
FP-1;Insert data user;23/01/2013 11:21:41;989406490 ();
FP-1;Ubah data user;23/01/2013 11:21:58;984397152 ();
;Ubah data;23/01/2013 11:22:26; (226);
;Insert data;23/01/2013 11:23:22; ();
;Insert data;23/01/2013 11:25:55; ();
;Insert data;23/01/2013 11:29:25; ();
;Insert data;23/01/2013 11:31:58; ();
;Ubah Status Verifikasi;23/01/2013 11:39:11; (30444);
;Ubah Status Verifikasi;23/01/2013 11:39:15; (30492);
;Ubah Status Verifikasi;23/01/2013 11:39:18; (30597);
;Ubah Status Verifikasi;23/01/2013 11:42:09; (30442);
