975360036;Ubah Data Faktur Penjualan 010.000-13.00003590;27/02/2013 10:04:11; di Nopend 43100 dengan id (33858);
963234559;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI INVES;27/02/2013 10:04:20; di Nopend 84100;
975360036;Ubah Data Faktur Penjualan 010.000-13.00003590;27/02/2013 10:04:20; di Nopend 43100 dengan id (33858);
975360036;Ubah Data Faktur Penjualan 010.000-13.00003593;27/02/2013 10:04:35; di Nopend 43100 dengan id (33861);
975360036;Ubah Data Faktur Penjualan 010.000-13.00003594;27/02/2013 10:04:45; di Nopend 43100 dengan id (33862);
975360036;Ubah Data Faktur Penjualan 010.000-13.00003598;27/02/2013 10:05:00; di Nopend 43100 dengan id (33866);
975360036;Ubah Data Faktur Penjualan 010.000-13.00003601;27/02/2013 10:05:23; di Nopend 43100 dengan id (33869);
960191975;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Simpan Pinjam Usaha Mandiri;27/02/2013 10:05:56; di Nopend 42200;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PEPABRI RUTENG;27/02/2013 10:06:45; di Nopend 86300;
975360036;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Simpan Pinjam Mekarsari;27/02/2013 10:06:45; di Nopend 43100;
975359903;Terkait PendapatanPT.Bank Himpunan Saudara.Tbk;27/02/2013 10:07:07; di Nopend 56100;
970343322;Insert Data Faktur Penjualan dgn Pemebeli Cahyono;27/02/2013 10:07:34; di Nopend 52300;
989399370;Insert Data Faktur Penjualan dgn Pemebeli BPR LUKAS GANDA;27/02/2013 10:07:48; di Nopend 86300;
978365999;Terkait PendapatanPT. BANK MUAMALAT INDONESIA, Tbk;27/02/2013 10:08:48; di Nopend 10009;
960191975;Insert Data Faktur Penjualan dgn Pemebeli PT CIMB NIAGA BANDUNG;27/02/2013 10:09:32; di Nopend 42200;
;Ubah Status Verifikasi;27/02/2013 10:10:15; (33855);
;Ubah Status Verifikasi;27/02/2013 10:10:19; (33857);
;Ubah Status Verifikasi;27/02/2013 10:10:24; (33863);
