opr97000;Ubah Data Faktur Penjualan 040.000-12.00008424;23/11/2012 06:35:29; di Nopend 97000 dengan id (9719);
opr123;Terkait Ssppph23biaya ;23/11/2012 13:17:38; di Nopend 10005 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:17:44; di Nopend 98800 dengan id ();
ver98300;Terkait Ssppph23biaya ;23/11/2012 13:17:46; di Nopend 98300 dengan id ();
opr97600;Terkait Ssppph23biaya ;23/11/2012 13:17:52; di Nopend 97600 dengan id ();
opr99600;Terkait Ssppph23biaya ;23/11/2012 13:17:59; di Nopend 99600 dengan id ();
ver98400;Terkait Ssppph23biaya ;23/11/2012 13:18:04; di Nopend 98400 dengan id ();
opr97600;Terkait Ssppph23biaya ;23/11/2012 13:18:19; di Nopend 97600 dengan id ();
opr99000;Terkait Ssppph23biaya ;23/11/2012 13:18:28; di Nopend 99000 dengan id ();
opr99600;Terkait Ssppph23biaya ;23/11/2012 13:18:31; di Nopend 99600 dengan id ();
;Ubah Status Verifikasi;23/11/2012 13:18:41; (567);
;Ubah Status Verifikasi;23/11/2012 13:18:47; (572);
;Ubah Status Verifikasi;23/11/2012 13:18:51; (576);
opr99600;Terkait Ssppph23biaya ;23/11/2012 13:18:52; di Nopend 99600 dengan id ();
opr99000;Terkait Ssppph23biaya ;23/11/2012 13:18:58; di Nopend 99000 dengan id ();
opr99600;Terkait Ssppph23biaya ;23/11/2012 13:19:21; di Nopend 99600 dengan id ();
ver98300;Terkait Ssppph23biaya ;23/11/2012 13:19:37; di Nopend 98300 dengan id ();
opr97000;Terkait Daftarbuktipotong;23/11/2012 13:19:42; di Nopend 97000 dengan id ();
opr98100;Terkait Ssppph23biaya ;23/11/2012 13:19:57; di Nopend 98100 dengan id ();
opr123;Terkait Ssppph23biaya ;23/11/2012 13:20:12; di Nopend 10005 dengan id ();
opr97700;Terkait Ssppph23biaya ;23/11/2012 13:20:21; di Nopend 97700 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:20:29; di Nopend 98800 dengan id ();
opr123;Terkait Ssppph23biaya ;23/11/2012 13:20:39; di Nopend 10005 dengan id ();
ver98300;Terkait Ssppph23biaya ;23/11/2012 13:20:41; di Nopend 98300 dengan id ();
opr97000;Terkait Ssppph23biaya ;23/11/2012 13:20:41; di Nopend 97000 dengan id ();
opr98100;Terkait Ssppph23biaya ;23/11/2012 13:20:42; di Nopend 98100 dengan id ();
opr97700;Terkait Ssppph23biaya ;23/11/2012 13:20:50; di Nopend 97700 dengan id ();
opr98800;Terkait Ssppph23biaya ;23/11/2012 13:20:50; di Nopend 98800 dengan id ();
ver98300;Terkait Ssppph23biaya ;23/11/2012 13:21:09; di Nopend 98300 dengan id ();
opr97600;Terkait Ssppph23biaya ;23/11/2012 13:21:24; di Nopend 97600 dengan id ();
opr97000;Terkait Ssppph23biaya ;23/11/2012 13:21:25; di Nopend 97000 dengan id ();
ver98400;Terkait Ssppph23biaya ;23/11/2012 13:21:29; di Nopend 98400 dengan id ();
opr97700;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:21; di Nopend 97700 dengan id ();
ver98300;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:25; di Nopend 98300 dengan id ();
opr123;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:27; di Nopend 10005 dengan id ();
opr98800;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:37; di Nopend 98800 dengan id ();
opr97600;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:40; di Nopend 97600 dengan id ();
opr97000;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:43; di Nopend 97000 dengan id ();
opr99000;Bukti Setor SPT Masa PPH 23;23/11/2012 13:22:56; di Nopend 99000 dengan id ();
opr99600;Bukti Setor SPT Masa PPH 23;23/11/2012 13:23:24; di Nopend 99600 dengan id ();
ver98400;Bukti Setor SPT Masa PPH 23;23/11/2012 13:23:47; di Nopend 98400 dengan id ();
opr97600;Bukti Setor SPT Masa PPH 23;23/11/2012 13:24:04; di Nopend 97600 dengan id ();
opr123;Entry bukti Lapor SPT;23/11/2012 13:26:28; di Nopend 10005 dengan id ();
opr98100;Bukti Setor SPT Masa PPH 23;23/11/2012 13:26:33; di Nopend 98100 dengan id ();
opr97700;Entry bukti Lapor SPT;23/11/2012 13:26:41; di Nopend 97700 dengan id ();
opr98800;Entry bukti Lapor SPT;23/11/2012 13:26:41; di Nopend 98800 dengan id ();
ver98400;Entry bukti Lapor SPT;23/11/2012 13:26:43; di Nopend 98400 dengan id ();
ver98300;Entry bukti Lapor SPT;23/11/2012 13:26:48; di Nopend 98300 dengan id ();
ver98400;Entry bukti Lapor SPT;23/11/2012 13:27:21; di Nopend 98400 dengan id ();
opr99000;Entry bukti Lapor SPT;23/11/2012 13:27:31; di Nopend 99000 dengan id ();
opr97600;Entry bukti Lapor SPT;23/11/2012 13:27:43; di Nopend 97600 dengan id ();
opr99600;Entry bukti Lapor SPT;23/11/2012 13:28:12; di Nopend 99600 dengan id ();
opr98100;Entry bukti Lapor SPT;23/11/2012 13:28:18; di Nopend 98100 dengan id ();
opr99900;Terkait Ssppph23biaya ;23/11/2012 13:29:25; di Nopend 99900 dengan id ();
opr99900;Terkait Ssppph23biaya ;23/11/2012 13:30:49; di Nopend 99900 dengan id ();
opr99900;Terkait Ssppph23biaya ;23/11/2012 13:31:16; di Nopend 99900 dengan id ();
opr97600;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:34:07; di Nopend 97600;
opr97700;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:34:54; di Nopend 97700;
opr97000;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:35:31; di Nopend 97000;
opr123;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:35:35; di Nopend 10005;
opr97700;Terkait Pendapatan00012/btpn/1012;23/11/2012 13:35:37; di Nopend 97700 dengan id (145);
opr99900;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:36:34; di Nopend 99900;
ver98300;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:36:34; di Nopend 98300;
ver98400;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:39:43; di Nopend 98400;
opr98800;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:40:06; di Nopend 98800;
opr99000;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:40:30; di Nopend 99000;
opr99600;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:40:37; di Nopend 99600;
;Insert data;23/11/2012 13:40:38; ();
;Insert data;23/11/2012 13:40:45; ();
;Insert data;23/11/2012 13:40:45; ();
;Insert data;23/11/2012 13:40:49; ();
;Insert data;23/11/2012 13:41:09; ();
;Ubah data Entry Rekon PPh 23;23/11/2012 13:41:49; (77);
;Insert data;23/11/2012 13:42:13; ();
;Ubah data Entry Rekon PPh 23;23/11/2012 13:43:15; (81);
opr97600;Terkait PendapatanBANK BTPN CABANG WATAMPONE;23/11/2012 13:43:22; di Nopend 97600;
opr97600;Pembatalan Bukti Potong 0012/btpn/1012;23/11/2012 13:43:35; id : (144);
;Insert data;23/11/2012 13:50:09; ();
opr99000;Terkait Daftarbuktipotong;23/11/2012 13:57:40; di Nopend 99000 dengan id ();
