972332303;Pembatalan Bukti Potong 000001/40000/0113;15/02/2013 08:45:36; id : (647);
;Ubah Status Verifikasi;15/02/2013 10:43:22; (26262);
;Ubah Status Verifikasi;15/02/2013 10:43:25; (26261);
;Ubah Status Verifikasi;15/02/2013 10:43:28; (26257);
;Ubah Status Verifikasi;15/02/2013 10:43:37; (22606);
;Ubah Status Verifikasi;15/02/2013 10:43:39; (22603);
;Ubah Status Verifikasi;15/02/2013 10:43:43; (22601);
;Ubah Status Verifikasi;15/02/2013 10:43:47; (22597);
;Ubah Status Verifikasi;15/02/2013 10:43:58; (24282);
;Ubah Status Verifikasi;15/02/2013 10:44:01; (24279);
;Ubah Status Verifikasi;15/02/2013 10:44:04; (24277);
;Ubah Status Verifikasi;15/02/2013 10:44:08; (24273);
;Ubah Status Verifikasi;15/02/2013 10:44:18; (24587);
;Ubah Status Verifikasi;15/02/2013 10:44:21; (24585);
;Ubah Status Verifikasi;15/02/2013 10:44:23; (24581);
;Ubah Status Verifikasi;15/02/2013 10:44:26; (24577);
;Ubah Status Verifikasi;15/02/2013 10:44:29; (24576);
;Ubah Status Verifikasi;15/02/2013 10:44:40; (24416);
;Ubah Status Verifikasi;15/02/2013 10:44:43; (24414);
;Ubah Status Verifikasi;15/02/2013 10:44:46; (24411);
;Ubah Status Verifikasi;15/02/2013 10:44:48; (24409);
;Ubah Status Verifikasi;15/02/2013 10:44:51; (24405);
;Ubah Status Verifikasi;15/02/2013 10:44:54; (24401);
;Ubah Status Verifikasi;15/02/2013 10:44:56; (24400);
;Ubah Status Verifikasi;15/02/2013 10:45:20; (19016);
;Ubah Status Verifikasi;15/02/2013 10:45:23; (19015);
;Ubah Status Verifikasi;15/02/2013 10:45:26; (19014);
;Ubah Status Verifikasi;15/02/2013 10:45:29; (19013);
;Ubah Status Verifikasi;15/02/2013 10:45:32; (19012);
;Ubah Status Verifikasi;15/02/2013 10:45:38; (19011);
;Ubah data Pkp AW Hutang Pajak;15/02/2013 10:45:46; (1505);
;Ubah Status Verifikasi;15/02/2013 10:45:48; (19010);
;Ubah Status Verifikasi;15/02/2013 10:45:51; (19009);
;Ubah Status Verifikasi;15/02/2013 10:45:54; (19007);
;Ubah Status Verifikasi;15/02/2013 10:45:56; (19006);
;Ubah Status Verifikasi;15/02/2013 10:45:59; (19004);
;Ubah Status Verifikasi;15/02/2013 10:46:02; (19002);
;Ubah Status Verifikasi;15/02/2013 10:46:04; (19001);
;Ubah Status Verifikasi;15/02/2013 10:46:07; (19000);
;Ubah Status Verifikasi;15/02/2013 10:46:09; (18998);
;Ubah Status Verifikasi;15/02/2013 10:46:12; (18997);
;Ubah Status Verifikasi;15/02/2013 10:46:15; (18996);
;Ubah Status Verifikasi;15/02/2013 10:47:44; (19434);
;Ubah Status Verifikasi;15/02/2013 10:47:57; (19435);
;Ubah Status Verifikasi;15/02/2013 10:48:08; (19439);
;Ubah Status Verifikasi;15/02/2013 10:48:53; (19440);
;Ubah Status Verifikasi;15/02/2013 10:49:09; (19443);
;Ubah Status Verifikasi;15/02/2013 10:49:35; (19444);
;Ubah Status Verifikasi;15/02/2013 10:49:48; (19445);
;Ubah Status Verifikasi;15/02/2013 10:50:01; (19446);
;Ubah Status Verifikasi;15/02/2013 10:50:19; (19448);
;Ubah Status Verifikasi;15/02/2013 10:50:31; (19449);
;Ubah Status Verifikasi;15/02/2013 10:52:35; (25950);
;Ubah Status Verifikasi;15/02/2013 10:52:39; (25949);
;Ubah Status Verifikasi;15/02/2013 10:52:43; (25948);
;Ubah Status Verifikasi;15/02/2013 10:52:46; (25947);
;Ubah Status Verifikasi;15/02/2013 10:52:52; (25946);
;Ubah Status Verifikasi;15/02/2013 10:53:05; (25945);
;Ubah Status Verifikasi;15/02/2013 10:53:10; (25944);
;Ubah Status Verifikasi;15/02/2013 10:53:14; (25943);
;Ubah Status Verifikasi;15/02/2013 10:53:19; (25942);
;Ubah Status Verifikasi;15/02/2013 10:53:23; (25941);
;Ubah Status Verifikasi;15/02/2013 10:53:31; (25940);
;Ubah Status Verifikasi;15/02/2013 10:53:39; (25939);
;Ubah Status Verifikasi;15/02/2013 10:53:43; (25938);
;Ubah Status Verifikasi;15/02/2013 10:53:47; (25937);
;Ubah Status Verifikasi;15/02/2013 10:53:52; (25936);
;Ubah Status Verifikasi;15/02/2013 10:53:57; (25935);
;Ubah Status Verifikasi;15/02/2013 10:54:11; (25934);
;Ubah Status Verifikasi;15/02/2013 10:54:15; (25933);
;Ubah Status Verifikasi;15/02/2013 10:54:19; (25932);
;Ubah Status Verifikasi;15/02/2013 10:54:23; (25931);
;Ubah Status Verifikasi;15/02/2013 10:54:26; (25930);
;Ubah Status Verifikasi;15/02/2013 10:54:32; (25929);
;Ubah Status Verifikasi;15/02/2013 10:54:46; (25105);
;Ubah Status Verifikasi;15/02/2013 10:54:54; (25103);
;Ubah Status Verifikasi;15/02/2013 10:55:05; (25102);
;Ubah Status Verifikasi;15/02/2013 10:55:08; (25101);
;Ubah Status Verifikasi;15/02/2013 10:55:13; (25100);
;Ubah Status Verifikasi;15/02/2013 10:55:16; (25099);
;Ubah Status Verifikasi;15/02/2013 10:55:22; (25096);
;Ubah Status Verifikasi;15/02/2013 10:55:30; (25094);
;Ubah Status Verifikasi;15/02/2013 10:55:38; (25092);
;Ubah Status Verifikasi;15/02/2013 10:55:41; (25091);
;Ubah Status Verifikasi;15/02/2013 10:55:44; (25088);
;Ubah Status Verifikasi;15/02/2013 10:55:47; (25087);
;Ubah Status Verifikasi;15/02/2013 10:55:50; (25086);
;Ubah Status Verifikasi;15/02/2013 10:56:02; (21971);
;Ubah Status Verifikasi;15/02/2013 10:56:06; (21970);
