FP-1;Hapus data user;13/11/2012 07:56:30; (hapus);
;Ubah Status Verifikasi;13/11/2012 10:58:19; (9260);
;Ubah Status Verifikasi;13/11/2012 10:58:19; (2705);
;Ubah Status Verifikasi;13/11/2012 10:58:20; (9406);
;Ubah Status Verifikasi;13/11/2012 10:58:20; (9394);
;Ubah Status Verifikasi;13/11/2012 10:58:22; (9359);
;Ubah Status Verifikasi;13/11/2012 10:58:23; (9331);
;Ubah Status Verifikasi;13/11/2012 10:58:23; (9327);
;Ubah Status Verifikasi;13/11/2012 10:58:24; (9415);
;Ubah Status Verifikasi;13/11/2012 10:58:25; (9430);
;Ubah Status Verifikasi;13/11/2012 10:58:25; (9292);
;Ubah Status Verifikasi;13/11/2012 10:58:26; (9366);
;Ubah Status Verifikasi;13/11/2012 10:58:27; (9335);
;Ubah Status Verifikasi;13/11/2012 10:58:29; (9445);
;Ubah Status Verifikasi;13/11/2012 10:58:29; (9316);
;Ubah Status Verifikasi;13/11/2012 10:58:30; (2729);
;Ubah Status Verifikasi;13/11/2012 10:58:33; (9399);
;Ubah Status Verifikasi;13/11/2012 10:58:33; (9308);
;Ubah Status Verifikasi;13/11/2012 10:58:33; (9391);
;Ubah Status Verifikasi;13/11/2012 10:58:36; (9311);
;Ubah Status Verifikasi;13/11/2012 10:58:36; (9334);
;Ubah Status Verifikasi;13/11/2012 10:58:37; (9427);
;Ubah Status Verifikasi;13/11/2012 10:58:37; (9326);
;Ubah Status Verifikasi;13/11/2012 10:58:38; (9345);
;Ubah Status Verifikasi;13/11/2012 10:58:40; (2679);
;Ubah Status Verifikasi;13/11/2012 10:58:41; (9303);
;Ubah Status Verifikasi;13/11/2012 10:58:42; (9306);
;Ubah Status Verifikasi;13/11/2012 10:58:42; (9388);
;Ubah Status Verifikasi;13/11/2012 10:58:43; (9319);
;Ubah Status Verifikasi;13/11/2012 10:58:43; (2730);
;Ubah Status Verifikasi;13/11/2012 10:58:44; (9363);
;Ubah Status Verifikasi;13/11/2012 10:58:47; (9333);
;Ubah Status Verifikasi;13/11/2012 10:58:47; (9422);
;Ubah Status Verifikasi;13/11/2012 10:58:48; (9398);
;Ubah Status Verifikasi;13/11/2012 10:58:49; (2734);
;Ubah Status Verifikasi;13/11/2012 10:58:50; (9374);
;Ubah Status Verifikasi;13/11/2012 10:58:50; (9325);
;Ubah Status Verifikasi;13/11/2012 10:58:51; (9441);
;Ubah Status Verifikasi;13/11/2012 10:58:52; (9426);
;Ubah Status Verifikasi;13/11/2012 10:58:53; (9263);
;Ubah Status Verifikasi;13/11/2012 10:58:53; (9360);
;Ubah Status Verifikasi;13/11/2012 10:58:54; (9294);
;Ubah Status Verifikasi;13/11/2012 10:58:55; (9458);
;Ubah Status Verifikasi;13/11/2012 10:58:55; (9443);
;Ubah Status Verifikasi;13/11/2012 10:58:56; (2697);
;Ubah Status Verifikasi;13/11/2012 10:58:56; (9373);
;Ubah Status Verifikasi;13/11/2012 10:58:56; (9351);
;Ubah Status Verifikasi;13/11/2012 10:58:57; (9448);
;Ubah Status Verifikasi;13/11/2012 10:58:57; (9407);
;Ubah Status Verifikasi;13/11/2012 10:58:57; (9390);
;Ubah Status Verifikasi;13/11/2012 10:58:57; (2683);
;Insert data;13/11/2012 10:58:58; ();
;Ubah Status Verifikasi;13/11/2012 10:58:58; (9257);
;Ubah Status Verifikasi;13/11/2012 10:58:58; (9370);
;Ubah Status Verifikasi;13/11/2012 10:58:59; (2725);
;Ubah Status Verifikasi;13/11/2012 10:59:00; (9459);
;Ubah Status Verifikasi;13/11/2012 10:59:00; (9355);
;Ubah Status Verifikasi;13/11/2012 10:59:02; (9284);
;Ubah Status Verifikasi;13/11/2012 10:59:03; (9375);
;Ubah Status Verifikasi;13/11/2012 10:59:03; (9424);
