979383766;Ubah Data Faktur Penjualan 010.000-13.00000092;17/01/2013 07:59:10; di Nopend 42300 dengan id (30357);
;Ubah data kegiatan;17/01/2013 11:26:21; (10347);
;Ubah data kegiatan;17/01/2013 11:26:40; (10361);
;Ubah data kegiatan;17/01/2013 11:26:56; (10249);
;Ubah data kegiatan;17/01/2013 11:27:15; (10269);
;Ubah data kegiatan;17/01/2013 11:27:34; (10268);
;Ubah data kegiatan;17/01/2013 11:27:51; (9467);
;Ubah data kegiatan;17/01/2013 11:28:09; (9468);
;Ubah data kegiatan;17/01/2013 11:28:26; (9878);
;Ubah data kegiatan;17/01/2013 11:28:40; (9755);
;Ubah data kegiatan;17/01/2013 11:28:57; (9762);
;Ubah data kegiatan;17/01/2013 11:29:14; (9763);
;Ubah data kegiatan;17/01/2013 11:29:29; (9992);
;Ubah data kegiatan;17/01/2013 11:29:49; (9993);
;Ubah data kegiatan;17/01/2013 11:30:06; (9994);
;Ubah data kegiatan;17/01/2013 11:30:20; (9744);
;Ubah data kegiatan;17/01/2013 11:39:12; (9424);
;Ubah data kegiatan;17/01/2013 11:39:36; (9420);
;Ubah data kegiatan;17/01/2013 11:39:56; (9425);
;Ubah data kegiatan;17/01/2013 11:40:14; (9421);
;Ubah data kegiatan;17/01/2013 11:40:34; (9423);
;Ubah data kegiatan;17/01/2013 11:40:51; (10029);
;Ubah data kegiatan;17/01/2013 11:41:20; (10142);
;Ubah data kegiatan;17/01/2013 11:41:39; (8992);
;Ubah data kegiatan;17/01/2013 11:41:53; (10380);
;Ubah data kegiatan;17/01/2013 11:42:11; (10379);
;Ubah data kegiatan;17/01/2013 11:42:33; (10367);
;Ubah data kegiatan;17/01/2013 11:42:48; (10366);
;Ubah data kegiatan;17/01/2013 11:43:05; (10365);
;Ubah data kegiatan;17/01/2013 11:43:19; (10184);
;Ubah data kegiatan;17/01/2013 11:43:35; (10181);
;Ubah data kegiatan;17/01/2013 11:43:54; (10178);
;Ubah data kegiatan;17/01/2013 11:44:14; (10161);
;Ubah data kegiatan;17/01/2013 11:44:39; (9841);
;Ubah data kegiatan;17/01/2013 11:45:09; (9842);
;Ubah data kegiatan;17/01/2013 11:45:35; (9824);
;Ubah data kegiatan;17/01/2013 11:45:55; (9825);
;Ubah data kegiatan;17/01/2013 11:46:14; (9822);
;Ubah data kegiatan;17/01/2013 11:46:38; (9821);
;Ubah data kegiatan;17/01/2013 11:46:56; (9793);
;Ubah data kegiatan;17/01/2013 11:47:13; (9514);
;Hapus data Faktur Pajak Masukan ;17/01/2013 11:47:35; (9515);
;Ubah data kegiatan;17/01/2013 11:47:44; (9516);
;Ubah data kegiatan;17/01/2013 11:48:32; (9517);
;Hapus data Faktur Pajak Masukan ;17/01/2013 11:49:25; (9492);
;Ubah data kegiatan;17/01/2013 11:49:49; (9512);
;Ubah data kegiatan;17/01/2013 11:50:18; (9400);
;Ubah data kegiatan;17/01/2013 11:50:38; (9397);
;Ubah data kegiatan;17/01/2013 11:51:11; (9397);
;Insert data;17/01/2013 11:57:36; ();
;Insert data;17/01/2013 11:59:18; ();
;Insert data;17/01/2013 12:01:18; ();
;Ubah data kegiatan;17/01/2013 12:19:31; (10425);
;Ubah data kegiatan;17/01/2013 12:19:43; (10426);
;Ubah data kegiatan;17/01/2013 12:20:02; (10427);
;Insert data pegawai;17/01/2013 12:33:08; ();
;Ubah data pegawai;17/01/2013 12:33:37; (243);
;Insert data pegawai;17/01/2013 12:34:21; ();
;Insert data pegawai;17/01/2013 12:35:03; ();
FP-1;Ubah status data user;17/01/2013 12:35:17;105 (0);
FP-1;Ubah status data user;17/01/2013 12:35:18;541 (0);
FP-1;Insert data user;17/01/2013 12:35:47;986391750 ();
FP-1;Ubah data user;17/01/2013 12:36:03;967254255 ();
FP-1;Insert data user;17/01/2013 12:36:25;973351743 ();
;Ubah data;17/01/2013 12:36:49; (92);
;Ubah data;17/01/2013 12:36:59; (93);
;Ubah data kegiatan;17/01/2013 12:40:49; (8983);
;Ubah Status Verifikasi;17/01/2013 12:41:00; (8982);
;Ubah data kegiatan;17/01/2013 12:41:06; (8982);
;Ubah Status Verifikasi;17/01/2013 12:41:17; (8964);
;Ubah data kegiatan;17/01/2013 12:41:24; (8964);
;Ubah data kegiatan;17/01/2013 12:41:33; (8965);
;Ubah data kegiatan;17/01/2013 12:41:44; (9284);
;Ubah data kegiatan;17/01/2013 12:42:07; (9819);
;Ubah data kegiatan;17/01/2013 12:42:17; (9818);
;Ubah data kegiatan;17/01/2013 12:42:36; (10031);
;Ubah data kegiatan;17/01/2013 12:42:53; (9351);
;Ubah data kegiatan;17/01/2013 12:43:15; (9352);
;Ubah data kegiatan;17/01/2013 12:43:35; (9353);
;Ubah data kegiatan;17/01/2013 12:43:49; (9346);
;Ubah data kegiatan;17/01/2013 12:44:05; (9347);
;Ubah data kegiatan;17/01/2013 12:44:19; (9344);
;Ubah data kegiatan;17/01/2013 12:44:38; (9343);
;Ubah data kegiatan;17/01/2013 12:44:54; (9342);
;Ubah data kegiatan;17/01/2013 12:45:09; (9303);
;Ubah data kegiatan;17/01/2013 12:45:24; (9302);
;Ubah data kegiatan;17/01/2013 12:46:02; (9063);
;Ubah data kegiatan;17/01/2013 12:46:12; (9064);
;Ubah data kegiatan;17/01/2013 12:46:21; (9065);
;Ubah data kegiatan;17/01/2013 12:46:31; (9066);
;Ubah data kegiatan;17/01/2013 12:46:41; (9067);
;Ubah data kegiatan;17/01/2013 12:46:53; (9068);
;Ubah data kegiatan;17/01/2013 12:47:03; (9069);
;Ubah data kegiatan;17/01/2013 12:47:13; (9070);
;Ubah data kegiatan;17/01/2013 12:47:28; (9071);
;Ubah data kegiatan;17/01/2013 12:47:37; (9072);
;Ubah data kegiatan;17/01/2013 12:47:48; (9073);
;Ubah data kegiatan;17/01/2013 12:47:59; (9074);
;Ubah data kegiatan;17/01/2013 12:48:11; (9075);
;Ubah data kegiatan;17/01/2013 12:48:21; (9076);
;Ubah data kegiatan;17/01/2013 12:48:30; (9077);
;Ubah data kegiatan;17/01/2013 12:48:40; (9078);
;Ubah data kegiatan;17/01/2013 12:49:16; (9858);
;Ubah data kegiatan;17/01/2013 12:49:40; (9444);
972327575;Terkait PendapatanBANK BTPN PALEMBANG;17/01/2013 12:52:04; di Nopend 30000;
;Insert data;17/01/2013 13:37:23; ();
;Ubah data;17/01/2013 13:37:44; (10428);
;Ubah Status Verifikasi;17/01/2013 13:52:15; (10428);
;Insert data pegawai;17/01/2013 14:37:46; ();
;Ubah data pegawai;17/01/2013 14:38:07; (665);
FP-1;Ubah data user;17/01/2013 14:38:36;985397380 ();
FP-1;Insert data user;17/01/2013 14:39:12;968286707 ();
;Ubah data;17/01/2013 14:39:51; (260);
965256777;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;17/01/2013 14:53:48; di Nopend 78800;
;Ubah Status Verifikasi;17/01/2013 14:54:55; (30366);
973354793;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI DIAN LESTARI;17/01/2013 15:00:46; di Nopend 16400;
;Insert data perusahaan;17/01/2013 15:07:02; ();
;Insert data pegawai;17/01/2013 15:56:03; ();
FP-1;Ubah data user;17/01/2013 15:57:29;966275901 ();
FP-1;Insert data user;17/01/2013 15:58:06;966249380 ();
;Ubah data;17/01/2013 15:58:34; (324);
;Ubah data kegiatan;17/01/2013 16:05:08; (10067);
;Ubah data kegiatan;17/01/2013 16:05:33; (6752);
